Girth;Height;Volume
8.30;70.00;10.30
8.60;65.00;10.30
8.80;63.00;10.20
10.50;72.00;16.40
10.70;81.00;18.80
10.80;83.00;19.70
11.00;66.00;15.60
11.00;75.00;18.20
11.10;80.00;22.60
11.20;75.00;19.90
11.30;79.00;24.20
11.40;76.00;21.00
11.40;76.00;21.40
11.70;69.00;21.30
12.00;75.00;19.10
12.90;74.00;22.20
12.90;85.00;33.80
13.30;86.00;27.40
13.70;71.00;25.70
13.80;64.00;24.90
14.00;78.00;34.50
14.20;80.00;31.70
14.50;74.00;36.30
16.00;72.00;38.30
16.30;77.00;42.60
17.30;81.00;55.40
17.50;82.00;55.70
17.90;80.00;58.30
18.00;80.00;51.50
18.00;80.00;51.00
20.60;87.00;77.00
